team,players_bought,total_spend_inr,avg_positive_mispricing_captured,median_value_per_rupee
Rajasthan Royals,108,2573000000.0,-5637379.31979701,0.17258392644117967
Lucknow Super Giants,59,1783000000.0,-6634073.91631688,0.21456657547000424
Mumbai Indians,101,2088500000.0,-6765878.563601137,0.12821398406373352
Delhi Capitals,109,2690000000.0,-7393063.213607432,-0.0439358233555226
Gujarat Titans,60,1767500000.0,-8687362.833784794,0.10326638940523808
Royal Challengers Bengaluru,105,3030000000.0,-8841587.597114239,0.14666505816191808
Kolkata Knight Riders,109,3019500000.0,-9163521.357703479,0.19386514430659105
Sunrisers Hyderabad,100,2727000000.0,-10109801.097900318,-0.034260456287412096
Chennai Super Kings,97,2678500000.0,-11331646.098411646,0.059961566134019754
Punjab Kings,115,3921500000.0,-14853367.603487449,-0.1325539837173768
