team,player_name,role,price,auction_year,source_file,price_in_inr,price_in_crore,player_name_clean,role_bucket,is_overseas,is_wicketkeeper,is_allrounder,unnamed_0,price_in,nationality,base_price,capped_uncapped,matched_player_name_clean,match_confidence,performance_season,player_name_clean_perf,matches_played_x,innings_batted,runs_scored_x,balls_faced,boundary_runs,fours,sixes,dismissals,dot_balls_batting,batting_strike_rate_x,batting_average,boundary_ball_pct,dot_ball_pct_batting,runs_per_innings_x,phase_balls_death,phase_balls_middle,phase_balls_other,phase_balls_powerplay,phase_runs_death,phase_runs_middle,phase_runs_other,phase_runs_powerplay,powerplay_strike_rate,middle_strike_rate,death_strike_rate,matches_played_bowl,innings_bowled,balls_bowled,legal_balls_bowled,runs_conceded,wickets_x,dot_balls_bowling,bowling_strike_rate,economy_rate_x,dot_ball_pct_bowling,phase_balls_death_bowl,phase_balls_middle_bowl,phase_balls_other_bowl,phase_balls_powerplay_bowl,phase_runs_death_bowl,phase_runs_middle_bowl,phase_runs_other_bowl,phase_runs_powerplay_bowl,phase_wickets_death,phase_wickets_middle,phase_wickets_other,phase_wickets_powerplay,powerplay_wickets,powerplay_economy,death_wickets,death_economy,experience_proxy,recent_runs_scored,recent_wickets,recent_batting_strike_rate,recent_economy_rate,target_log_price,player_name_clean_model,year_median_price_in_inr,year_mean_price_in_inr,year_total_spend_in_inr,year_players_sold,inflation_index,spend_index,is_mega_auction_proxy,role_year_median_price_in_inr,role_year_mean_price_in_inr,leadership_proxy,captaincy_proxy,title_winning_captain_proxy,indian_batter_premium_proxy,previous_auction_price_in_inr,prior_auction_count,years_since_last_auction,career_peak_auction_price_in_inr,auction_history_mean_price_in_inr,marquee_player_proxy,predicted_log_price,predicted_price_in_inr,intrinsic_predicted_log_price,intrinsic_predicted_price_in_inr,selected_model,predicted_price_in_crore,intrinsic_predicted_price_in_crore,actual_price_in_crore,mispricing_in_inr,mispricing_pct,mispricing_label,intrinsic_mispricing_in_inr,intrinsic_mispricing_pct,player_name_display,player_name_join,role_bucket_realized,matches_played_y,runs_scored_y,batting_strike_rate_y,runs_per_innings_y,wickets_y,economy_rate_y,realized_value_index,realized_percentile_within_role,realized_outcome_label
 Royal Challengers Bengaluru,Tim David,,"3,00,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,30000000.0,3.0,tim david,batter,1,0,0,155.0,,Overseas,"2,00,00,000 ",Capped,th david,0.93,2024.0,th david,11.0,11.0,241.0,152.0,146.0,14.0,15.0,8.0,47.0,158.55263157894737,30.125,19.078947368421055,30.92105263157895,21.90909090909091,87.0,65.0,0.0,0.0,171.0,70.0,0.0,0.0,,107.6923076923077,196.55172413793102,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,625.5,,183.600428713604,,17.216707972959764,th david,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.3764296200488941,1,30000000.0,52696428.571428575,0,0,0,0,82500000.0,1,3.0,82500000.0,82500000.0,1,18.137628420724003,75348035.23032263,18.02816549403731,67535603.71517028,random_forest,7.534803523032263,6.753560371517028,3.0,45348035.23032263,1.5116011743440876,strongly_undervalued,37535603.71517028,1.251186790505676,Tim David,th david,batter,9.0,187.0,185.14851485148515,20.77777777777778,,,1.9039467149273217,0.5176470588235295,solid
 Chennai Super Kings,Sam Curran,,"2,40,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,24000000.0,2.4,sam curran,batter,1,0,0,7.0,,Overseas,"2,00,00,000 ",Capped,sm curran,0.9473684210526315,2024.0,sm curran,13.0,12.0,270.0,219.0,132.0,24.0,6.0,10.0,70.0,123.28767123287672,27.0,13.698630136986301,31.963470319634702,22.5,31.0,131.0,5.0,52.0,47.0,166.0,6.0,51.0,98.07692307692307,126.71755725190839,151.61290322580646,13.0,13.0,254.0,246.0,416.0,16.0,81.0,15.375,10.146341463414634,32.926829268292686,60.0,66.0,30.0,90.0,129.0,113.0,47.0,127.0,7.0,6.0,1.0,2.0,2.0,8.466666666666667,7.0,12.9,4.0,498.0,28.5,162.33661330591863,9.920575956377268,16.993564429978885,sm curran,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.3764296200488941,1,30000000.0,52696428.571428575,0,0,0,0,185000000.0,4,2.0,185000000.0,64250003.175,1,17.856443986203885,56879409.88236514,17.93482458654314,61517027.863777086,random_forest,5.687940988236514,6.151702786377709,2.4,32879409.882365137,1.369975411765214,strongly_undervalued,37517027.863777086,1.5632094943240453,Sam Curran,sm curran,bowler,5.0,114.0,135.71428571428572,22.8,1.0,11.083333333333334,-0.5995690282324325,0.09278350515463918,below_expectation
 Royal Challengers Bengaluru,Nuwan Thushara,,"1,60,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,16000000.0,1.6,nuwan thushara,bowler,1,0,0,159.0,,Overseas,"75,00,000 ",Capped,n thushara,0.93,2024.0,n thushara,7.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,172.0,156.0,257.0,8.0,49.0,19.5,9.884615384615385,31.41025641025641,48.0,30.0,30.0,48.0,89.0,44.0,35.0,89.0,2.0,0.0,4.0,2.0,2.0,11.125,2.0,11.125,0.0,,,,,16.588099342704055,n thushara,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.3764296200488941,1,16000000.0,41633333.333333336,0,0,0,0,48000000.0,1,1.0,48000000.0,48000000.0,0,17.5852237789926,43367625.12913182,16.12056946873213,10024767.801857585,random_forest,4.3367625129131815,1.0024767801857586,1.6,27367625.129131816,1.7104765705707385,strongly_undervalued,-5975232.198142415,-0.3734520123839009,Nuwan Thushara,n thushara,bowler,1.0,,,,1.0,6.5,2.208171445748505,0.6597938144329897,solid
 Lucknow Super Giants,Aiden Markram,,"2,00,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,20000000.0,2.0,aiden markram,batter,1,0,0,81.0,,Overseas,"2,00,00,000 ",Capped,ak markram,0.93,2024.0,ak markram,11.0,11.0,220.0,177.0,96.0,18.0,4.0,9.0,49.0,124.29378531073448,24.444444444444443,12.429378531073446,27.683615819209038,20.0,16.0,102.0,0.0,59.0,31.0,122.0,0.0,67.0,113.55932203389831,119.6078431372549,193.75,2.0,2.0,13.0,12.0,15.0,0.0,4.0,,7.5,33.33333333333333,0.0,12.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,3.0,943.5,3.0,131.8989898989899,9.619047619047619,16.811242881518265,ak markram,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.3764296200488941,1,30000000.0,52696428.571428575,0,0,0,0,26000000.0,1,3.0,26000000.0,26000000.0,0,17.65199925970668,46362395.09835545,17.331620244571685,33653250.773993805,random_forest,4.636239509835545,3.3653250773993806,2.0,26362395.09835545,1.3181197549177726,strongly_undervalued,13653250.773993805,0.6826625386996903,Aiden Markram,ak markram,all_rounder,13.0,445.0,148.82943143812707,34.23076923076923,4.0,9.272727272727273,2.2259892314093905,0.9166666666666666,impact
 Punjab Kings,Harpreet  Brar,,"1,50,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,15000000.0,1.5,harpreet brar,batter,0,0,0,124.0,,Indian,"30,00,000 ",Uncapped,harpreet brar,1.0,2024.0,harpreet brar,13.0,7.0,75.0,54.0,44.0,8.0,2.0,2.0,19.0,138.88888888888889,37.5,18.51851851851852,35.18518518518518,10.714285714285714,39.0,15.0,0.0,0.0,53.0,22.0,0.0,0.0,,146.66666666666666,135.8974358974359,13.0,13.0,230.0,228.0,303.0,7.0,69.0,32.57142857142857,7.973684210526316,30.263157894736842,12.0,162.0,6.0,48.0,17.0,226.0,7.0,53.0,1.0,6.0,0.0,0.0,0.0,6.625,1.0,8.5,5.0,111.0,19.5,106.90322580645162,8.487804878048781,16.52356082573315,harpreet brar,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.3764296200488941,1,30000000.0,52696428.571428575,0,0,0,1,38000000.0,2,3.0,38000000.0,20000000.0,0,17.523358680940987,40765987.67990197,16.374488399762566,12922600.619195046,random_forest,4.076598767990197,1.2922600619195046,1.5,25765987.679901972,1.7177325119934648,strongly_undervalued,-2077399.380804954,-0.13849329205366362,Harpreet  Brar,harpreet brar,bowler,7.0,11.0,84.61538461538461,5.5,10.0,8.636363636363637,2.3951451387023424,0.7010309278350515,impact
 Delhi Capitals,Faf Du Plessis,,"2,00,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,20000000.0,2.0,faf du plessis,batter,1,0,0,28.0,,Overseas,"2,00,00,000 ",Capped,f du plessis,0.93,2024.0,f du plessis,15.0,15.0,438.0,271.0,314.0,47.0,21.0,14.0,97.0,161.62361623616238,31.285714285714285,25.092250922509223,35.79335793357934,29.2,3.0,61.0,40.0,167.0,2.0,109.0,36.0,291.0,174.25149700598803,178.68852459016392,66.66666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1797.0,,139.59943796193997,,16.811242881518265,f du plessis,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.3764296200488941,1,30000000.0,52696428.571428575,1,0,0,0,70000000.0,2,3.0,70000000.0,43000000.0,1,17.549028737092296,41825999.978548795,18.01710241464872,66792569.65944272,random_forest,4.182599997854879,6.679256965944273,2.0,21825999.978548795,1.0912999989274397,strongly_undervalued,46792569.65944272,2.3396284829721363,Faf Du Plessis,f du plessis,batter,9.0,202.0,123.92638036809815,22.444444444444443,,,1.0713032857560694,0.3411764705882353,solid
 Royal Challengers Bengaluru,Swapnil Singh,,"50,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,5000000.0,0.5,swapnil singh,batter,1,0,0,162.0,,Overseas,"30,00,000 ",Uncapped,swapnil singh,1.0,2024.0,swapnil singh,7.0,5.0,37.0,21.0,30.0,3.0,3.0,2.0,8.0,176.19047619047618,18.5,28.57142857142857,38.095238095238095,7.4,12.0,9.0,0.0,0.0,22.0,15.0,0.0,0.0,,166.66666666666669,183.33333333333331,7.0,7.0,92.0,90.0,133.0,6.0,27.0,15.0,8.866666666666667,30.0,0.0,30.0,30.0,30.0,0.0,42.0,32.0,59.0,0.0,1.0,3.0,2.0,2.0,11.8,0.0,,3.0,21.0,1.5,56.578947368421055,8.82283464566929,15.424948670398354,swapnil singh,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.3764296200488941,1,30000000.0,52696428.571428575,0,0,0,0,2000000.0,2,1.0,2000000.0,2000000.0,0,17.102053100889293,26750214.8622163,16.339379969831228,12476780.185758512,random_forest,2.67502148622163,1.2476780185758511,0.5,21750214.8622163,4.35004297244326,strongly_undervalued,7476780.1857585125,1.4953560371517025,Swapnil Singh,swapnil singh,,,,,,,,,,
 Mumbai Indians,Reece Topley,,"75,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,7500000.0,0.75,reece topley,batter,1,0,0,101.0,,Overseas,"75,00,000 ",Capped,rjw topley,0.93,2024.0,rjw topley,4.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,3.0,50.0,,0.0,50.0,3.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,50.0,4.0,4.0,95.0,90.0,168.0,4.0,31.0,22.5,11.2,34.44444444444444,24.0,24.0,18.0,24.0,57.0,50.0,15.0,46.0,2.0,1.0,1.0,0.0,0.0,11.5,2.0,14.25,1.0,,3.0,,7.0,15.830413711839864,rjw topley,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.3764296200488941,1,30000000.0,52696428.571428575,0,0,0,0,19000000.0,1,2.0,19000000.0,19000000.0,0,17.151532241420192,28107084.103030637,15.292036309628095,4377708.978328173,random_forest,2.8107084103030635,0.4377708978328173,0.75,20607084.103030637,2.7476112137374185,strongly_undervalued,-3122291.021671827,-0.4163054695562436,Reece Topley,rjw topley,unknown,1.0,,,,0.0,13.333333333333334,-1.26750877730682,0.8333333333333334,impact
 Kolkata Knight Riders,Rovman Powell,,"1,50,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,15000000.0,1.5,rovman powell,batter,1,0,0,68.0,,Overseas,"1,50,00,000 ",Capped,r powell,0.93,2024.0,r powell,7.0,7.0,103.0,68.0,76.0,10.0,6.0,6.0,30.0,151.47058823529412,17.166666666666668,23.52941176470588,44.11764705882353,14.714285714285714,44.0,24.0,0.0,0.0,80.0,23.0,0.0,0.0,,95.83333333333334,181.8181818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,385.5,1.5,112.70778652668417,12.31578947368421,16.52356082573315,r powell,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.3764296200488941,1,30000000.0,52696428.571428575,0,0,0,0,74000000.0,2,1.0,74000000.0,51000000.0,1,17.367052361238244,34867033.17412265,17.894149369377267,59065015.47987617,random_forest,3.486703317412265,5.906501547987617,1.5,19867033.174122646,1.324468878274843,strongly_undervalued,44065015.47987617,2.9376676986584114,Rovman Powell,r powell,batter,1.0,5.0,100.0,5.0,,,-1.7985340629336861,0.09411764705882353,below_expectation
 Mumbai Indians,Lizaad Williams,,"75,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,7500000.0,0.75,lizaad williams,batter,1,0,0,100.0,,Overseas,"75,00,000 ",Capped,lb williams,0.93,2024.0,lb williams,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,50.0,,0.0,50.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,50.0,2.0,2.0,42.0,37.0,71.0,1.0,12.0,37.0,11.513513513513512,32.432432432432435,0.0,12.0,13.0,12.0,0.0,18.0,34.0,19.0,0.0,1.0,0.0,0.0,0.0,9.5,0.0,,0.0,,,,,15.830413711839864,lb williams,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.3764296200488941,1,30000000.0,52696428.571428575,0,0,0,0,,0,,,,0,17.116460327624107,27138400.91502129,15.266246920712872,4266253.86996904,random_forest,2.713840091502129,0.426625386996904,0.75,19638400.91502129,2.618453455336172,strongly_undervalued,-3233746.13003096,-0.43116615067079467,Lizaad Williams,lb williams,,,,,,,,,,
